1 DEMON LIMIT WAY SPEED
2 WIDOW BITE MONKEY SPIDER
3 TIME HAIR STRETCH LONG
4 CHEST CAR STORE TOY
5 LAND HAND HOUSE FARM
6 DATE ALLEY FOLD BLIND
7 BUMP EGG STEP GOOSE
8 HIGH BOOK SOUR NOTE
9 BROKEN CLEAR EYE GLASS
10 COIN QUICK SPOON SILVER
11 STRIKE SAME TENNIS MATCH
12 PINE CRAB SAUCE APPLE
13 PIKE COAT SIGNAL TURN
14 SPEAK MONEY STREET EASY
15 WATER TOBACCO STOVE PIPE
16 LIFT CARD MASK FACE
17 MAIL BOARD LUNG BLACK
18 WAGON BREAK RADIO STATION
19 CHOCOLATE FORTUNE TIN COOKIE
20 HOUND PRESSURE SHOT BLOOD
21 SAFETY CUSHION POINT PIN
22 DUST CEREAL FISH BOWL
23 TOOTH POTATO HEART SWEET
24 PRINT BERRY BIRD BLUE
25 DUE LIFE TENSE PAST
