prob_id,cue1,cue2,cue3,solution,correct,responses,timings
8,HIGH,BOOK,SOUR,NOTE,False,"TASTE,MILK,SALT,ACID,DREAM,BITTER,FAT,HOUSE,HOME,LOCAL,STATE,MOUNTAIN,WOODS,LEMON,TREE,TALL,SHORT","[0.11, 0.219, 0.34, 0.466, 0.583, 0.708, 0.8300000000000001, 0.9510000000000001, 1.056, 1.1480000000000001, 1.244, 1.356, 1.471, 1.592, 1.701, 1.804, 1.9100000000000001, 2.017, 2.117, 2.218, 2.33, 2.433, 2.541, 2.648, 2.7680000000000002, 2.873, 2.986, 3.095, 3.1990000000000003, 3.3080000000000003, 3.41, 3.517, 3.6310000000000002, 3.735, 3.841, 3.968, 4.07, 4.187, 4.293, 4.407, 4.524, 4.634, 4.7540000000000004, 4.86, 4.972, 5.158, 5.2620000000000005, 5.476, 5.5920000000000005, 5.703, 5.8100000000000005, 5.926, 6.024, 6.138, 6.251, 6.3580000000000005, 6.461, 6.562, 6.665, 6.774, 6.882000000000001, 6.99, 7.09, 7.184, 7.297, 7.397, 7.506, 7.621, 7.731, 7.833, 7.941, 8.502, 8.721, 8.823, 8.936, 9.275, 9.798]"
19,CHOCOLATE,FORTUNE,TIN,COOKIE,True,"ISLAND,POOR,COOKIE","[0.11, 0.23, 0.335, 0.47000000000000003, 0.598, 0.718, 0.846, 0.9560000000000001, 1.062, 1.165, 1.272, 1.3760000000000001, 1.487, 1.599, 1.71, 1.822, 1.931, 2.058, 2.161, 2.2640000000000002, 2.383, 2.476, 2.581, 2.696, 2.82, 2.927, 3.0220000000000002, 3.129, 3.235, 3.338, 3.446, 3.5460000000000003, 3.6710000000000003, 3.789, 3.8930000000000002, 3.997, 4.1, 4.21, 4.313, 4.4110000000000005, 4.513, 4.746, 4.862, 5.106, 5.2010000000000005, 5.308, 5.412, 5.522, 5.6370000000000005, 5.746, 5.855, 6.087, 6.194, 6.297, 6.4110000000000005, 6.514, 6.615, 6.727, 7.042, 7.1530000000000005, 7.258, 7.357, 7.471, 7.6930000000000005, 7.809, 7.912, 8.015, 8.126, 8.23, 8.332, 8.438, 8.544, 8.674, 8.777000000000001, 8.874, 8.971, 9.075000000000001, 9.177, 9.415000000000001, 9.519, 9.618, 9.73, 9.826, 9.931000000000001]"
21,SAFETY,CUSHION,POINT,PIN,True,"MONEY,WELFARE,COMFORT,NICE,SECURE,SECURITY,OUT,PIN","[0.108, 0.223, 0.358, 0.47900000000000004, 0.612, 0.756, 0.891, 0.988, 1.086, 1.199, 1.319, 1.45, 1.57, 1.698, 1.821, 1.942, 2.054, 2.161, 2.2680000000000002, 2.386, 2.499, 2.603, 2.713, 2.828, 2.934, 3.039, 3.15, 3.2560000000000002, 3.355, 3.455, 3.564, 3.685, 3.798, 3.908, 4.15, 4.26, 4.344, 4.4510000000000005, 4.567, 4.676, 4.792, 4.913, 5.01, 5.124, 5.224, 5.315, 5.423, 5.867, 5.977, 6.073, 6.183, 6.297, 6.3950000000000005, 6.49, 6.597, 6.815, 7.053, 7.163, 7.2700000000000005, 7.402, 7.5040000000000004, 7.618, 7.732, 7.8340000000000005, 7.95, 8.071, 8.189, 8.299, 8.403, 8.611, 9.174, 9.392, 9.516, 9.633000000000001, 9.741, 9.975]"
13,PIKE,COAT,SIGNAL,TURN,True,"FISH,TURN","[0.109, 0.20500000000000002, 0.294, 0.42, 0.548, 0.682, 0.801, 0.922, 1.016, 1.124, 1.226, 1.359, 1.516, 1.6560000000000001, 1.7850000000000001, 1.9180000000000001, 2.061, 2.1630000000000003, 2.27, 2.386, 2.479, 2.612, 2.73, 2.846, 2.966, 3.075, 3.213, 3.333, 3.456, 3.596, 3.717, 3.826, 3.947, 4.067, 4.171, 4.284, 4.3950000000000005, 4.631, 4.741, 4.8500000000000005, 5.206, 5.329, 5.4670000000000005, 5.796, 5.915, 6.1610000000000005, 6.267, 6.3790000000000004, 6.488, 6.586, 6.681, 6.7860000000000005, 6.898000000000001, 7.007000000000001, 7.114, 7.223, 7.321, 7.426, 7.545, 7.659, 7.774, 7.891, 8.011000000000001, 8.115, 8.239, 8.35, 8.45, 8.564, 8.66, 8.765, 8.878, 8.986, 9.109, 9.47, 9.576, 9.668000000000001, 9.763, 9.867]"
11,STRIKE,SAME,TENNIS,MATCH,True,"BALL,LET,ACTIVITY,NET,SET,DOUBLE,COURT,DATE,PLAYER,SILVER,HOUSE,BLACK,KNOWLEDGE,TECHNIQUE,MATCH","[0.109, 0.219, 0.334, 0.459, 0.58, 0.7010000000000001, 0.838, 0.9420000000000001, 1.047, 1.1440000000000001, 1.2710000000000001, 1.366, 1.479, 1.6, 1.715, 1.818, 1.943, 2.058, 2.166, 2.275, 2.3890000000000002, 2.489, 2.594, 2.688, 2.791, 2.9010000000000002, 3.015, 3.119, 3.217, 3.317, 3.43, 3.5580000000000003, 3.6590000000000003, 3.765, 3.873, 3.979, 4.079, 4.176, 4.276, 4.39, 4.718, 4.833, 4.934, 5.121, 5.237, 5.357, 5.46, 5.689, 5.799, 6.0200000000000005, 6.24, 6.351, 6.458, 6.567, 6.672, 6.781000000000001, 6.890000000000001, 6.993, 7.109, 7.224, 7.329, 7.775, 7.882000000000001, 7.984, 8.085, 8.299, 8.417, 8.762, 8.862, 9.214, 9.542, 9.657, 9.765, 9.868]"
11,STRIKE,SAME,TENNIS,MATCH,True,"WATER,DOUBLE,DIFFERENT,ODD,ORDINARY,STANDARD,USUAL,ORIGINAL,EVEN,LIKE,MATCH","[0.111, 0.20500000000000002, 0.328, 0.459, 0.59, 0.717, 0.853, 0.963, 1.06, 1.162, 1.292, 1.421, 1.54, 1.6600000000000001, 1.7850000000000001, 1.9000000000000001, 2.019, 2.144, 2.267, 2.366, 2.477, 2.58, 2.681, 2.809, 2.916, 3.0380000000000003, 3.16, 3.2760000000000002, 3.379, 3.481, 3.595, 3.716, 3.846, 3.958, 4.07, 4.179, 4.279, 4.385, 4.485, 5.843, 6.061, 6.154, 6.265000000000001, 6.369, 6.479, 6.593, 6.703, 6.811, 6.9190000000000005, 7.0280000000000005, 7.138, 7.686, 7.8100000000000005, 7.934, 8.604000000000001, 8.705, 8.831, 8.987, 9.133000000000001, 9.28, 9.414, 9.545, 9.668000000000001, 9.912]"
16,LIFT,CARD,MASK,FACE,False,"PAPER,CHARGE,POST,BOARD,HIGH,UP,ICE,RESPONSIBILITY,BALL","[0.11, 0.228, 0.376, 0.518, 0.649, 0.772, 0.909, 1.0010000000000001, 1.106, 1.206, 1.337, 1.478, 1.596, 1.721, 1.842, 1.964, 2.091, 2.213, 2.315, 2.431, 2.548, 2.657, 2.77, 2.8970000000000002, 3.0300000000000002, 3.134, 3.238, 3.342, 3.455, 3.584, 3.7, 3.8160000000000003, 3.932, 4.041, 4.138, 4.246, 4.34, 4.582, 4.6850000000000005, 4.907, 5.402, 5.508, 5.605, 5.828, 5.931, 6.046, 6.15, 6.26, 6.347, 6.442, 6.554, 6.781000000000001, 7.232, 7.336, 7.6770000000000005, 7.79, 7.886, 7.98, 8.13, 8.281, 8.429, 8.586, 9.018, 9.125]"
22,DUST,CEREAL,FISH,BOWL,False,"CLEAN,FIBER,GRAIN,FLAKES,MILK,STORAGE,POWDER,NORMAL","[0.108, 0.27, 0.388, 0.56, 0.723, 0.865, 0.963, 1.053, 1.1520000000000001, 1.289, 1.409, 1.547, 1.68, 1.803, 1.942, 2.077, 2.201, 2.331, 2.436, 2.532, 2.68, 2.803, 3.0580000000000003, 3.194, 3.329, 3.4450000000000003, 3.545, 3.653, 3.757, 3.879, 4.032, 4.16, 4.3, 4.421, 4.531, 4.8, 4.92, 5.0280000000000005, 5.135, 5.242, 5.344, 5.458, 5.7170000000000005, 5.822, 5.9350000000000005, 6.4510000000000005, 6.571, 6.881, 6.986, 7.087, 7.195, 7.301, 7.773000000000001, 8.005, 8.117, 8.356, 8.463000000000001, 8.565, 8.669, 8.91, 9.031, 9.254, 9.355, 9.462, 9.573, 9.808, 9.914]"
22,DUST,CEREAL,FISH,BOWL,False,"FOOD,LINE,FRIED,WATER,CONTROL","[0.108, 0.215, 0.355, 0.489, 0.637, 0.782, 0.931, 1.03, 1.133, 1.274, 1.395, 1.52, 1.641, 1.758, 1.874, 1.971, 2.109, 2.255, 2.391, 2.521, 2.646, 2.7600000000000002, 2.857, 3.003, 3.142, 3.287, 3.4090000000000003, 3.552, 3.692, 3.822, 3.935, 4.037, 4.14, 4.272, 4.415, 4.541, 4.66, 4.932, 5.0520000000000005, 5.181, 5.3, 5.399, 5.6160000000000005, 5.75, 5.863, 6.112, 6.49, 7.047, 7.679, 8.026, 8.137, 8.988, 9.092, 9.432, 9.912]"
17,MAIL,BOARD,LUNG,BLACK,False,"FOOD,POST,STORE,RECEIVE,BAG,FREE,AIR,CALIFORNIA,PROCEDURE,WAY,BILL","[0.106, 0.216, 0.337, 0.454, 0.58, 0.6900000000000001, 0.81, 0.936, 1.032, 1.1340000000000001, 1.225, 1.362, 1.486, 1.6280000000000001, 1.749, 1.903, 2.033, 2.142, 2.266, 2.388, 2.519, 2.624, 2.7600000000000002, 2.868, 2.977, 3.084, 3.194, 3.306, 3.4170000000000003, 3.535, 3.6430000000000002, 3.742, 3.844, 3.954, 4.063, 4.183, 4.3, 4.526, 4.633, 4.752, 4.862, 4.977, 5.081, 5.2010000000000005, 5.303, 5.4270000000000005, 5.54, 5.659, 5.771, 5.87, 6.074, 6.18, 6.4270000000000005, 6.539, 6.651, 6.755, 6.853, 6.953, 7.101, 7.207, 7.569, 7.67, 7.777, 7.8870000000000005, 8.004, 8.229000000000001, 8.337, 8.435, 8.540000000000001, 9.036, 9.493, 9.604000000000001, 9.700000000000001, 9.937]"
